Brand,Name,Image URL,Fragrantica URL
Dolce&Gabbana,Dolce Peony Woman Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/2/0/200302000352.jpg,https://www.fragrantica.com/perfume/Dolce-Gabbana/Dolce-Peony-53803.html
Gucci,Guilty Absolute Pour Femme Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/2/0/200302000572.jpg,https://www.fragrantica.com/perfume/Gucci/Gucci-Guilty-Absolute-Pour-Femme-48090.html
Salvatore Ferragamo,Signorina Eleganza Woman Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/e/l/eleganza100ml-.jpg,https://www.fragrantica.com/perfume/Salvatore-Ferragamo/Signorina-Eleganza-21977.html
Salvatore Ferragamo,Amo Ferragamo Per Lei Woman Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/a/m/amo_ferragamo_per_lei_woman_edp_c.jpg,https://www.fragrantica.com/perfume/Salvatore-Ferragamo/Amo-Ferragamo-Per-Lei-62755.html
Gucci,Flora Gorgeous Gardenia Woman Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/2/0/200302000491.jpg,https://www.fragrantica.com/perfume/Gucci/Flora-Gorgeous-Gardenia-68578.html
Burberry,Her Edt,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/2/0/200302000595.jpg,https://www.fragrantica.com/perfume/Burberry/Burberry-Her-Eau-de-Toilette-71379.html
Marc Jacobs,Daisy Ever So Fresh Woman Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/m/j/mja_dsy_evsf_22_edp_125ml.psd-jpg-300dpi.jpg,https://www.fragrantica.com/perfume/Marc-Jacobs/Daisy-Ever-So-Fresh-75191.html
Calvin Klein,Eternity Intense Woman Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/3/6/3616303549732_cak_etw_edpintense_22_100ml_bottle.psd-jpg-300dpi.jpg,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-Intense-41917.html
Gucci,Flora Gorgeous Jasmine Woman Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/0/0/0031031000037.jpg,https://www.fragrantica.com/perfume/Gucci/Flora-Gorgeous-Jasmine-75190.html
Davidoff,Cool Water Reborn Woman Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/0/0/0031031000024_7.jpg,https://www.fragrantica.com/perfume/Davidoff/Cool-Water-Reborn-for-Her-73604.html
Elizabeth Arden,White Tea Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/0/3/0310000000102.jpg,https://www.fragrantica.com/perfume/Elizabeth-Arden/White-Tea-Eau-de-Parfum-76395.html
Escada,Chiffon Sorbet Woman Edt,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/3/6/3616304203626_2.jpg,https://www.fragrantica.com/perfume/Escada/Chiffon-Sorbet-Eau-de-Toilette-89247.html
